video_path,annotation_id,start_timestamp,start_framenumber,end_timestamp,end_framenumber,timestamp_border,led_border
./vlc-record-2019-08-19-16h32m09s-DVRecorder_03_20190704_16.49.45-16.56.42[R][@da37][0].avi,202,2019-07-04 16:54:00,1,2019-07-04 16:54:02,20,"(587.0846069412526, 57.53531668779959, 111.77358034515998, 997.7466419055289)","(418.5748905322298, 796.1543636674143, 497.57434316444574, 249.4213972371723)"
.vlc-record-2019-08-19-16h32m09s-DVRecorder_03_20190704_16.49.45-16.56.42[R][@da37][0].avi,555,2019-07-04 16:51:40,1,2019-07-04 16:51:55,15,"(587.2505532565692, 51.974969803362015, 112.1676922664085, 994.0499798509743)","(416.26279113581603, 796.2260524351722, 496.60982140537476, 251.0407821815562)"
