,audio_file,duration,peak_amplitude,peak_freq_resolution,peak_frequency,region_id,rms,start,stop,terminal_frequency,terminal_frequency_threshold
0,segment_matching_annotaudio_Aditya_2018-08-17_56_1_hp,0.018944,0.05352783203125,105.52975939214859,105099.23986486487,cf1,0.02627064720379726,0.000136,0.01908,104835.30405405405,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_56_1_hp,0.001892,0.06817626953125,1054.8523206751054,95665.9619450317,fm1,0.027952513683165984,0.01908,0.020972,89852.0084566596,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_56_6_hp,0.000676,0.015045166015625,2941.176470588235,100591.71597633137,fm1,0.007737109156027923,0.000296,0.000972,99112.42603550297,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_56_6_hp,0.02002,0.066802978515625,99.88014382740711,104545.45454545454,cf1,0.032090234135730686,0.000972,0.020992,104445.55444555444,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_56_6_hp,0.001468,0.045562744140625,1358.695652173913,102179.83651226158,fm2,0.019089595666958382,0.020992,0.02246,98092.64305177111,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_56_7_hp,0.00076,0.011077880859375,2604.1666666666665,101315.78947368421,fm1,0.00500847194410057,0.000388,0.001148,96052.63157894737,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_56_7_hp,0.035336,0.085357666015625,56.586690810321414,105275.07357935251,cf1,0.03877357239202596,0.001148,0.036484,105133.57482454155,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_56_7_hp,0.001416,0.048828125,1404.4943820224719,105225.98870056498,fm2,0.026043899303706926,0.036484,0.0379,90395.48022598871,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_56_11_hp,0.002028,0.012298583984375,984.2519685039371,103057.19921104537,fm1,0.006182374908740731,0.000224,0.002252,92209.07297830375,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_56_11_hp,0.025632,0.035125732421875,78.003120124805,104634.83146067416,cf1,0.018255228031309616,0.002252,0.027884,104478.77652933833,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_56_11_hp,0.001432,0.020111083984375,1388.888888888889,93575.41899441341,fm2,0.010397286021386494,0.027884,0.029316,91480.44692737432,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_56_27_hp,0.001332,0.01800537109375,1497.005988023952,97597.59759759762,fm1,0.007751343792847827,0.0002,0.001532,93843.84384384386,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_56_27_hp,0.019144,0.081024169921875,104.42773600668338,103949.01796907648,cf1,0.04259685915357104,0.001532,0.020676,104366.90346844966,-10
