video_path,annotation_id,Sampling minute,timestamp from camera,start_timestamp,start_framenumber,end_timestamp,end_framenumber,no. of flying bats,bat behaviour,"strength (1 - strong, 0-weak)","weak in (Behaviour Be, Number Bn)",Comments,Details on the comment,annotator
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_1,2,2,2018-08-17 04:02:06,17,2018-08-17 04:02:08,13,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_2,2,2,2018-08-17 04:02:43,2,2018-08-17 04:02:43,12,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_3,3,2,2018-08-17 04:03:48,6,2018-08-17 04:03:48,17,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_4,4,2,2018-08-17 04:04:19,8,2018-08-17 04:04:19,19,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_5,4,2,2018-08-17 04:04:50,19,2018-08-17 04:04:51,11,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_6,6,2,2018-08-17 04:06:38,13,2018-08-17 04:06:38,24,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_7,6,2,2018-08-17 04:06:39,6,2018-08-17 04:06:39,25,2,T,1,,Tailing initially.,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_8,6,2,2018-08-17 04:06:40,7,2018-08-17 04:06:40,14,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_9,7,2,2018-08-17 04:07:41,21,2018-08-17 04:07:42,7,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_10,7,2,2018-08-17 04:07:51,5,2018-08-17 04:07:52,2,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_11,9,2,2018-08-17 04:09:35,21,2018-08-17 04:09:42,18,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_12,9,2,2018-08-17 04:09:42,25,2018-08-17 04:09:46,20,2,"T,P",1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_13,9,2,2018-08-17 04:09:47,2,2018-08-17 04:09:50,3,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_14,9,2,2018-08-17 04:09:50,10,2018-08-17 04:09:52,19,2,P,1,,Passing in the same direction,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_15,9,2,2018-08-17 04:09:53,8,2018-08-17 04:09:53,23,2,P,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_16,9,2,2018-08-17 04:09:54,5,2018-08-17 04:09:55,23,3,"T,p,H",1,,The bat goes out of the camera view,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_17,9,2,2018-08-17 04:09:57,6,2018-08-17 04:09:59,1,3,T,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_18,9,2,2018-08-17 04:09:59,7,2018-08-17 04:09:59,15,4,"T,P",1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_19,10,2,2018-08-17 04:10:00,4,2018-08-17 04:10:00,19,3,"T,P",1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_20,10,2,2018-08-17 04:10:01,1,2018-08-17 04:10:02,19,2,"T,P",1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_21,10,2,2018-08-17 04:10:03,1,2018-08-17 04:10:23,17,3,"T,P",1,,All of them go inside the roost,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_22,10,2,2018-08-17 04:10:25,16,2018-08-17 04:10:26,8,1,,0,Bn,Two more bats inside the roosting area,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_23,10,2,2018-08-17 04:10:35,10,2018-08-17 04:10:35,22,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_24,10,2,2018-08-17 04:10:54,20,2018-08-17 04:10:57,20,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_25,12,2,2018-08-17 04:12:28,7,2018-08-17 04:12:31,8,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_26,12,2,2018-08-17 04:12:37,8,2018-08-17 04:12:38,10,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_27,13,2,2018-08-17 04:13:05,11,2018-08-17 04:13:06,1,1,,1,,A second bat comes out of the roost and then disappears.,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_28,13,2,2018-08-17 04:13:09,19,2018-08-17 04:13:18,17,1,,1,,,,Aditya
OrlovaChukaDome_02_20180817_04.00.00-05.00.00[R][@2241][1],Aditya_2018-08-17_45_29,13,2,2018-08-17 04:13:22,8,2018-08-17 04:13:23,13,1,,1,,,,Aditya
