video_path,annotation_id,Sampling minute,timestamp from camera,start_timestamp,start_framenumber,end_timestamp,end_framenumber,no. of flying bats,bat behaviour,strength (1 - strong, 0- weak),weak in (Behaviour Be, Bat number Bn),comments,Details on the comment,timestamp_border,led_border
/media/tbeleyur/THEJASVI_DATA_BACKUP_3/fieldwork_2018_002/horseshoe_bat/video/Horseshoe_bat_2018-08/2018-08-16/cam01/OrlovaChukaDome_01_20180816_21.50.31-23.00.00[R][@afc][0].avi,c1_2150-2300,NAN,1,2018-08-16 22:23:45,2,2018-08-16 22:23:45,20,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"(590.4865253498716, 55.153357631379635, 112.86677643519215, 992.9494364196597)","(877.1086387785767, 1029.3501970284728, 52.26985521857125, 30.71657799107652)"
/media/tbeleyur/THEJASVI_DATA_BACKUP_3/fieldwork_2018_002/horseshoe_bat/video/Horseshoe_bat_2018-08/2018-08-16/cam02/OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1].avi,c2_2150-2300,NAN,2,2018-08-16 22:23:45,2,2018-08-16 22:23:45,20,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"(590.4865253498716, 55.153357631379635, 112.86677643519215, 992.9494364196597)","(250.39286610091725, 898.4368744536677, 684.2887944886477, 167.9543277023157)"
/media/tbeleyur/THEJASVI_DATA_BACKUP_3/fieldwork_2018_002/horseshoe_bat/video/Horseshoe_bat_2018-08/2018-08-16/cam01/OrlovaChukaDome_01_20180816_23.00.00-00.00.00[R][@f6b][1].avi,C1_2300-2400,NAN,1,2018-08-16 23:15:36,2,2018-08-16 23:15:36,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"(590.4865253498716, 55.153357631379635, 112.86677643519215, 992.9494364196597)","(877.1086387785767, 1029.3501970284728, 52.26985521857125, 30.71657799107652)"
/media/tbeleyur/THEJASVI_DATA_BACKUP_3/fieldwork_2018_002/horseshoe_bat/video/Horseshoe_bat_2018-08/2018-08-16/cam02/OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0].avi,C2_2300-2400,NAN,2,2018-08-16 23:15:36,2,2018-08-16 23:15:36,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"(590.4865253498716, 55.153357631379635, 112.86677643519215, 992.9494364196597)","(250.39286610091725, 898.4368744536677, 684.2887944886477, 167.9543277023157)"
