,audio_file,duration,peak_amplitude,peak_freq_resolution,peak_frequency,region_id,rms,start,stop,terminal_frequency,terminal_frequency_threshold
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_7_hp,0.001856,0.17901611328125,1072.961373390558,105603.44827586206,fm1,0.09544366419998475,0.000892,0.002748,93749.99999999999,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_7_hp,0.0149,0.292572021484375,134.19216317767044,107449.66442953021,cf1,0.152738378584734,0.002748,0.017648,107248.32214765101,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_7_hp,0.001928,0.182159423828125,1033.0578512396694,104253.11203319502,fm2,0.10902036892592708,0.017648,0.019576,88692.94605809129,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_10_hp,0.001992,0.0177001953125,1000.0,104417.67068273094,fm1,0.00870407771405761,0.000448,0.00244,92369.4779116466,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_10_hp,0.036432,0.042633056640625,54.88474204171241,103947.07949055776,cf1,0.019075279479242344,0.00244,0.038872,103892.18269653054,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_10_hp,0.001496,0.036163330078125,1329.787234042553,102272.72727272728,fm2,0.01609657718682899,0.038872,0.040368,91577.54010695188,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_14_hp,0.00018,0.007904052734375,10869.565217391304,116666.66666666667,cf1,0.0036462965171502053,0.000124,0.000304,94444.44444444445,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_14_hp,0.000172,0.007568359375,11363.636363636364,87209.3023255814,fm1,0.004451194190516282,0.000304,0.000476,98837.20930232559,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_14_hp,0.013944,0.037750244140625,143.348623853211,106712.56454388985,cf2,0.01697470710760531,0.000476,0.01442,106569.13367756741,-10
3,segment_matching_annotaudio_Aditya_2018-08-16_2324_14_hp,0.002552,0.029327392578125,781.25,106191.2225705329,fm2,0.010122916235117916,0.01442,0.016972,92868.33855799373,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_15_hp,0.000552,0.021514892578125,3571.4285714285716,97826.08695652174,fm1,0.010488172811164265,0.000652,0.001204,99637.68115942029,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_15_hp,0.015484,0.085479736328125,129.13223140495867,103267.88943425471,cf1,0.04363702422308224,0.001204,0.016688,103074.14104882459,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_15_hp,0.002008,0.02935791015625,992.063492063492,102589.64143426296,fm2,0.013503014773359787,0.016688,0.018696,91135.45816733068,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_20_hp,0.000796,0.13116455078125,2500.0,106783.91959798997,fm1,0.06289904653915152,8.8e-05,0.000884,105527.63819095478,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_20_hp,0.01686,0.2501220703125,118.59582542694497,109015.42111506524,cf1,0.13353426297926532,0.000884,0.017744,108956.10913404508,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_20_hp,0.002092,0.11962890625,954.1984732824427,107074.56978967495,fm2,0.052124877343555885,0.017744,0.019836,89388.14531548756,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_22_hp,0.001116,0.102264404296875,1785.7142857142858,103046.59498207885,fm1,0.051098316651551054,0.000588,0.001704,98566.3082437276,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_22_hp,0.02002,0.218414306640625,99.88014382740711,105044.95504495504,cf1,0.12062337513606858,0.001704,0.021724,105044.95504495504,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_22_hp,0.001212,0.099822998046875,1644.7368421052631,103960.39603960396,fm2,0.05512103735219512,0.021724,0.022936,96534.65346534654,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_23_hp,0.000856,0.025848388671875,2314.814814814815,106308.41121495327,fm1,0.012751232107967128,0.000136,0.000992,102803.73831775702,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_23_hp,0.014444,0.04608154296875,138.42746400885935,106549.43229022433,cf1,0.026127307227427853,0.000992,0.015436,106410.96649127667,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_23_hp,0.001504,0.026885986328125,1322.7513227513227,106382.97872340426,fm2,0.011503071194683497,0.015436,0.01694,96409.57446808512,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_26_hp,0.000304,0.018218994140625,6410.25641025641,105263.15789473685,fm1,0.009528390539397405,0.000636,0.00094,98684.2105263158,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_26_hp,0.013104,0.106109619140625,152.5320317266626,105616.60561660561,cf1,0.056540276749148105,0.00094,0.014044,105387.66788766789,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_26_hp,0.001164,0.047119140625,1712.3287671232877,104810.99656357389,fm2,0.023712670204888646,0.014044,0.015208,99656.35738831616,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_28_hp,0.01218,0.077880859375,164.14970453053184,106650.24630541871,cf1,0.03756218550531112,0.000196,0.012376,106239.73727422002,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_28_hp,0.002032,0.14471435546875,980.3921568627451,104330.70866141733,fm1,0.07411647993964561,0.012376,0.014408,90551.18110236221,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_28_hp,0.000468,0.09307861328125,4237.28813559322,91880.34188034188,cf2,0.04885991773183249,0.014408,0.014876,87606.83760683761,-10
3,segment_matching_annotaudio_Aditya_2018-08-16_2324_28_hp,0.000152,0.062469482421875,12500.0,85526.3157894737,fm2,0.04032264008025839,0.014876,0.015028,85526.3157894737,-10
4,segment_matching_annotaudio_Aditya_2018-08-16_2324_28_hp,0.000628,0.050872802734375,3164.5569620253164,87579.6178343949,cf3,0.029560786016819024,0.015028,0.015656,90764.33121019109,-10
5,segment_matching_annotaudio_Aditya_2018-08-16_2324_28_hp,0.000288,0.035858154296875,6756.756756756757,93750.0,fm3,0.0202237940726829,0.015656,0.015944,86805.55555555555,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_30_hp,0.001276,0.038818359375,1562.5,104231.97492163008,fm1,0.020228808512711572,0.000428,0.001704,97178.68338557993,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_30_hp,0.040316,0.097686767578125,49.6031746031746,104896.31907927374,cf1,0.036386253484595246,0.001704,0.04202,104846.71098323246,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_30_hp,0.000736,0.020416259765625,2688.1720430107525,103260.86956521739,fm2,0.009700250268186328,0.04202,0.042756,99184.78260869565,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_31_hp,0.000704,0.139434814453125,2808.9887640449438,103693.18181818182,fm1,0.05948335794485857,0.000808,0.001512,100852.27272727274,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_31_hp,0.014788,0.326690673828125,135.2082206598161,106572.89694346767,cf1,0.16252222796628527,0.001512,0.0163,106370.02975385447,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_31_hp,0.001792,0.245208740234375,1111.111111111111,97098.21428571429,fm2,0.11637237984170146,0.0163,0.018092,88727.67857142858,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_41_hp,0.001292,0.387359619140625,1543.20987654321,103715.17027863777,fm1,0.18404905107717348,0.00016,0.001452,97523.21981424149,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_41_hp,0.014244,0.854888916015625,140.37057832678272,106360.57287278853,cf1,0.48120022517356775,0.001452,0.015696,106149.95787700084,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_41_hp,0.000856,0.415863037109375,2314.814814814815,106308.41121495327,fm2,0.21058445300956607,0.015696,0.016552,101635.5140186916,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_56_hp,0.001968,0.04498291015625,1012.1457489878543,104166.66666666667,fm1,0.01587493616501034,0.000564,0.002532,97052.84552845529,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_56_hp,0.02098,0.06671142578125,95.31071292413267,106244.04194470926,cf1,0.0316192763401656,0.002532,0.023512,106196.37750238323,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_56_hp,0.001612,0.018218994140625,1237.6237623762377,104218.36228287841,fm2,0.007124094618287118,0.023512,0.025124,90570.71960297767,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_59_hp,0.001816,0.020721435546875,1096.4912280701753,98017.62114537446,fm1,0.010471460399873098,0.00062,0.002436,96365.63876651983,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_59_hp,0.014216,0.034942626953125,140.607424071991,107976.92740574,cf1,0.016400033811542217,0.002436,0.016652,107695.55430500844,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_59_hp,0.002296,0.03936767578125,868.0555555555555,107578.39721254357,fm2,0.012896100010739242,0.016652,0.018948,90156.79442508712,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_61_hp,0.001892,0.066497802734375,1054.8523206751054,106236.7864693446,fm1,0.02684472998607746,0.001192,0.003084,94080.33826638477,-10
1,segment_matching_annotaudio_Aditya_2018-08-16_2324_61_hp,0.023044,0.0972900390625,86.77542519958348,107880.57628883875,cf1,0.050097156494779506,0.003084,0.026128,107620.20482555113,-10
2,segment_matching_annotaudio_Aditya_2018-08-16_2324_61_hp,0.00206,0.04656982421875,968.9922480620155,106310.6796116505,fm2,0.017092979926435367,0.026128,0.028188,90291.26213592234,-10
0,segment_matching_annotaudio_Aditya_2018-08-16_2324_62_hp,0.0021,0.0650634765625,950.5703422053232,106190.4761904762,fm1,0.02652775063583065,0.001412,0.003512,95238.09523809524,-10
