,audio_path,skip,start,stop,segment_method,signal_level,tfr_cliprange,measurements,window_size,extrap_window,max_acc,fmrate_threshold
0,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_7_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
1,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_10_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
2,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_14_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
3,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_15_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
4,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_18_hp.WAV,TRUE,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
5,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_20_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
6,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_22_hp.WAV,DEFAULT,0.0005,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
7,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_23_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
8,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_26_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
9,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_28_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
10,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_29_hp.WAV,TRUE,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
11,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_30_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
12,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_31_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-34,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
13,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_41_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
14,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_54_hp.WAV,TRUE,DEFAULT,DEFAULT,pwvd,-30,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
15,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_55_hp.WAV,TRUE,DEFAULT,DEFAULT,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
16,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_56_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-46,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
17,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_59_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
18,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_61_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
19,../../hp_ind_calls/2018-08-16_2300-2400/segment_matching_annotaudio_Aditya_2018-08-16_2324_62_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-36,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
