audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,
matching_annotaudio_Aditya_2018-08-16_2324_62,0.96,5.1456,L,80,5.001,5.038,31.02,4.973,4.996,There are HSB calls towards the end only. FM calls in the beginning. There is only one bat in the cave,
matching_annotaudio_Aditya_2018-08-16_2324_64,0.55,0.352,R,NA,NA,NA,NA,NA,NA,Only one bat in the cave. However overlapping calls towards the end. 2 bat situation succeeding this.,
matching_annotaudio_Aditya_2018-08-16_2324_68,0.77,0.616,L,50,0.236,0.267,30.72,0.279,0.29,There are echoes.,
matching_annotaudio_Aditya_2018-08-16_2324_69,0.56,4.6368,L,60,4.616,4.635,27.57,4.584,4.587,,
matching_annotaudio_Aditya_2018-08-16_2324_70,0.43,0.5848,R,45,1.324,1.345,20.53,1.314,1.319,,
matching_annotaudio_Aditya_2018-08-16_2324_71,0.47,NA,L,NA,NA,NA,NA,NA,NA,FM and HSB calls. Only one bat in the cave. A single bat situation occurs right after this.,
matching_annotaudio_Aditya_2018-08-16_2324_72,0.62,3.1744,L,45,2.204,2.209,36.07,2.247,2.254,There are 1-2 FM calls in between and 1 HSB at 80kHz. Not sure?,
matching_annotaudio_Aditya_2018-08-16_2324_73,0.24,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at 80khz and 100kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_74,0.26,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at 80khz and 100kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_75,0.95,NA,R,NA,NA,NA,NA,NA,NA,"Few HSB calls and FM calls, along with majorly HSb calls at 100Khz.",
matching_annotaudio_Aditya_2018-08-16_2324_77,0.79,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_78,0.62,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_79,0.13,0.0728,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_80,0.48,0.48,L,65,0.454,0.475,32.55,0.431,0.448,,
matching_annotaudio_Aditya_2018-08-16_2324_84,0.29,1.6704,R,NA,NA,NA,NA,NA,NA,There is only bat flying. However FM calls in the between. ,
matching_annotaudio_Aditya_2018-08-16_2324_85,0.14,0.5096,L,60,0.188,0.236,33.24,0.251,0.272,,
matching_annotaudio_Aditya_2018-08-16_2324_86,0.62,9.3,R,NA,NA,NA,NA,NA,NA,There is only one bat flying in and out of the roost. Prominent HSB calls at 100 kHz. However calls also of HSB at 80kHz and an FM bat.,
