audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-17_45_99,0.1,0.24,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_100,0.38,0.5624,L,70,1.042,1.071,23.72,1.024,1.042,There is one 'pink' myotis call in between
matching_annotaudio_Aditya_2018-08-17_45_103,0.17,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation involving a myotis and HSB. One bat has gone into the roost.
matching_annotaudio_Aditya_2018-08-17_45_104,0.49,NA,R,NA,NA,NA,NA,NA,NA,3 bat situation involving a myotis and HSB. One bat has gone into the roost.
matching_annotaudio_Aditya_2018-08-17_45_106,0.37,NA,L,NA,NA,NA,NA,NA,NA,2 bat situation involving a myotis and HSB. 
matching_annotaudio_Aditya_2018-08-17_45_107,0.8,NA,R,NA,NA,NA,NA,NA,NA,3 bat situation. There are prominent myotis calls. Seems as if one of the bat is a myotis
matching_annotaudio_Aditya_2018-08-17_45_108,0.43,NA,,NA,NA,NA,NA,NA,NA,4 bat situation. There are prominent myotis calls. Seems as if one of the bat is a myotis
matching_annotaudio_Aditya_2018-08-17_45_109,0.53,NA,,NA,NA,NA,NA,NA,NA,3 bat situation. Prominent myotis calls present
matching_annotaudio_Aditya_2018-08-17_45_110,0.54,NA,,NA,NA,NA,NA,NA,NA,2 bat situation. Myotiss and HSB calls
matching_annotaudio_Aditya_2018-08-17_45_112,0.17,NA,,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_113,0.57,0.5472,R,60,0.086,0.114,31.09,0.079,0.085,
matching_annotaudio_Aditya_2018-08-17_45_114,0.38,NA,,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_115,0.87,0.348,,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_116,0.34,1.5232,R,70,3.48,3.507,21.92,3.518,3.545,
matching_annotaudio_Aditya_2018-08-17_45_117,0.98,0.6272,L,75,0.61,0.632,25.26,0.554,0.562,The intensity of the second half of the call is low. Not sure whether it happens because of interference
matching_annotaudio_Aditya_2018-08-17_45_118,0.94,11.5432,R,40,9.892,9.909,27.11,10.063,10.076,
matching_annotaudio_Aditya_2018-08-17_45_119,0.92,6.6976,L,60,2.037,2.057,28.63,1.878,1.881,
matching_annotaudio_Aditya_2018-08-17_45_121,0.05,0.026,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_122,0.48,0.2112,R,40,0.197,0.217,26.15,0.097,0.111,Silent period taken from 45_104
matching_annotaudio_Aditya_2018-08-17_45_123,0.7,0.112,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_124,0.14,0.112,L,50,0.162,0.193,20.09,0.204,0.221,
matching_annotaudio_Aditya_2018-08-17_45_125,0.75,0.69,R,NA,NA,NA,NA,NA,NA,No calls with good enough SNR
matching_annotaudio_Aditya_2018-08-17_45_126,0.44,0.1936,L,60,0.399,0.416,20.64,0.206,0.213,"In addition to HSB calls, there are faint myotis calls. However, they are visible faintly after HP filter."
matching_annotaudio_Aditya_2018-08-17_45_127,0.02,0.0528,R,45,2.006,2.021,22.4,2.122,2.127,Not sure whether it’s a 2 bat situation involving a myotis and HSB. Myotis calls are very faint.
matching_annotaudio_Aditya_2018-08-17_45_128,0.89,NA,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_129,0.6,NA,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_132,0.99,NA,L,NA,NA,NA,NA,NA,NA,Only myotis calls
matching_annotaudio_Aditya_2018-08-17_45_133,0.58,2.3664,L,NA,NA,NA,NA,NA,NA,Wrong video annotation.2 bat situation in between..
matching_annotaudio_Aditya_2018-08-17_45_135,0.96,3.5328,R,55,0.142,0.16,34.85,0.473,0.486,There are echoes at the start of the call. But the call is very loud.
matching_annotaudio_Aditya_2018-08-17_45_137,0.33,0.2112,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_141,0.36,0.1008,L,70,0.127,0.165,27.88,0.251,0.263,Not sure. It seems as if it’s a 2 bat situation between myotis and HSB. However the myotis calls are very faint.
matching_annotaudio_Aditya_2018-08-17_45_161,0.48,NA,L,NA,NA,NA,NA,NA,NA,3 bat situation - one of them is a myotis bat
matching_annotaudio_Aditya_2018-08-17_45_162,0.52,2.184,L,70,0.228,0.251,24.13,0.208,0.223,
matching_annotaudio_Aditya_2018-08-17_45_164,0.02,0.1256,L,50,3.262,3.28,23.57,3.297,3.308,
matching_annotaudio_Aditya_2018-08-17_45_165,1,NA,L,NA,NA,NA,NA,NA,NA,3 bat situation - one of them is a myotis bat
matching_annotaudio_Aditya_2018-08-17_45_172,0.39,0.6864,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_173,0.66,1.1352,R,55,1.159,1.177,21.84,1.186,1.197,
matching_annotaudio_Aditya_2018-08-17_45_174,0.12,0.8544,L,55,0.164,0.185,34.79,0.148,0.161,
matching_annotaudio_Aditya_2018-08-17_45_178,0.52,0.1248,L,NA,NA,NA,NA,NA,NA,One bat situation. Calls of the next coming into the cave also present. 
matching_annotaudio_Aditya_2018-08-17_45_180,0.54,1.188,R,NA,NA,NA,NA,NA,NA,No clear call
