audio_annotation_file,,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,,,,,,,,fm2_start_time,fm2_end_time,fm2_dbrms
matching_annotaudio_Aditya_2018-08-17_34_66,1,100,0.36,R,NA,NA,NA,NA,NA,NA,NO CLEAR CALLs with good SNR,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_67,0.54,54,0.108,R,NA,NA,NA,NA,NA,NA,NO CLEAR CALLs with good SNR,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_68,0.11,11,NA,L,NA,NA,NA,NA,NA,NA,ONLY MYOTIS CALLS.,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_69,0.64,64,1.5616,R,75,2.092,2.111,24,2.078,2.091,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_70,0.8,80,NA,L,NA,NA,NA,NA,NA,NA,Peak freq. at 80kHz. Another horseshoe bat species,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_71,0.72,72,0.288,L,50,0.033,0.058,27.9,0.067,0.086,There are echoes of the previous call just before the call starts,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_72,0.71,71,0.5396,R,60,0.178,0.196,22.68,0.347,0.355,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_73,0.57,57,0.57,L,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_75,0.26,26,NA,R,NA,NA,NA,NA,NA,NA,Myotis call. Insepcted video. Similar pattern as the other ones with myotis calls,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_77,0.51,51,1.3464,R,,2.428,2.461,29.57,2.411,2.428,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_78,0.73,73,3.2412,L,70,0.447,0.484,26.13,0.428,0.444,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_79,0.69,69,2.7876,L,60,1.157,1.184,28.62,1.137,1.155,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_80,0.04,4,0.0224,L,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_81,0.52,52,0.208,L,,0.173,0.188,24.21,0.309,0.33,Silent interval from Annotation - 40. Faint echoes before call starts,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_82,0.64,64,NA,L,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_83,0.69,69,0.1656,R,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_111,0.72,72,1.872,R,70,1.799,1.819,39.46,0.285,0.295,"Since it�s a very intense call, there are echoes.",,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_120,0.55,55,0.418,L,50,0.251,0.27,29.87,0.236,0.245,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_124,0.89,89,0.4984,R,NA,NA,NA,NA,NA,NA,There are very few calls.,,,,,,,,,,
