audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-20_0300-0400_73,0.71,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at 80kHz
matching_annotaudio_Aditya_2018-08-20_0300-0400_74,0.96,NA,R,NA,NA,NA,NA,NA,NA,FM calls only
matching_annotaudio_Aditya_2018-08-20_0300-0400_75,0.5,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at 80kHz +100kHz
matching_annotaudio_Aditya_2018-08-20_0300-0400_78,0.8,NA,R,NA,NA,NA,NA,NA,NA,There is only one bat in the video. However overlapping calls in the audio. Succeeding this is a multiple bat situation
matching_annotaudio_Aditya_2018-08-20_0300-0400_79,0.31,0.2356,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-20_0300-0400_80,0.05,NA,R,NA,NA,NA,NA,NA,NA,FM calls only
matching_annotaudio_Aditya_2018-08-20_0300-0400_81,0.24,0.2592,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-20_0300-0400_83,0.84,0.1008,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-20_0300-0400_84,0.12,0.0288,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-20_0300-0400_85,0.08,0.08,R,60,0.21,0.232,28.88,0.197,0.203,NA
matching_annotaudio_Aditya_2018-08-20_0300-0400_90,0.63,0.4032,R,80,0.234,0.25,32.33,0.288,0.297,NA
matching_annotaudio_Aditya_2018-08-20_0300-0400_91,0.66,0.2904,L,55,0.157,0.179,26.12,0.258,0.264,NA
matching_annotaudio_Aditya_2018-08-20_0300-0400_92,0.34,0.2312,L,90,0.052,0.073,22.69,0.104,0.111,NA
