audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-19_0120-0200_71,0.95,0.342,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_72,0.86,1.3072,L,45,0.446,0.468,26.42,0.481,0.488,
matching_annotaudio_Aditya_2018-08-19_0120-0200_73,0.73,2.6572,L,60,2.601,2.646,25.83,2.593,2.599,
matching_annotaudio_Aditya_2018-08-19_0120-0200_74,0.21,0.4368,L,70,0.284,0.307,38.74,0.325,0.333,
matching_annotaudio_Aditya_2018-08-19_0120-0200_76,0.08,0.1344,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_77,0.47,NA,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_78,0.55,NA,L,NA,NA,NA,NA,NA,NA,Overlapping HSB calls. Multi bat situation succeeds this.
matching_annotaudio_Aditya_2018-08-19_0120-0200_79,0.2,0.336,R,55,0.553,0.57,33.01,0.608,0.615,
matching_annotaudio_Aditya_2018-08-19_0120-0200_80,0.73,NA,R,NA,NA,NA,NA,NA,NA,Overlapping HSB calls. 
matching_annotaudio_Aditya_2018-08-19_0120-0200_81,0.27,0.0432,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_82,0.35,0.126,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_83,0.72,2.304,R,50,0.524,0.545,39.01,0.58,0.593,
matching_annotaudio_Aditya_2018-08-19_0120-0200_84,0.03,0.078,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_85,0.86,2.5456,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_86,0.24,NA,L,NA,NA,NA,NA,NA,NA,There is only one bat in the cave. Overlapping HSB calls. 
matching_annotaudio_Aditya_2018-08-19_0120-0200_87,0.92,0.368,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_88,0.01,NA,L,NA,NA,NA,NA,NA,NA,No clear call
