,audio_path,segment_method,signal_level,tfr_cliprange,measurements,stop,window_size,extrap_window,max_acc,fmrate_threshold
23,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_342_hp.WAV,pwvd,-40,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
24,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_135_hp.WAV,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
25,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_119_hp.WAV,pwvd,-40,36,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
26,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_341_hp.WAV,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
27,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_303_hp.WAV,pwvd,-55,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
28,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_29_hp.WAV,pwvd,-40,34,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
29,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_269_hp.WAV,pwvd,-34,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
30,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_211_hp.WAV,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
31,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_267_hp.WAV,pwvd,-38,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
32,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_337_hp.WAV,pwvd,-50,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
33,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_321_hp.WAV,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
34,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_339_hp.WAV,pwvd,-40,30,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
35,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_164_hp.WAV,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
36,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_24_hp.WAV,pwvd,-46,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
37,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_127_hp.WAV,pwvd,-52,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
38,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_200_hp.WAV,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
39,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_174_hp.WAV,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
