,audio_file,duration,peak_amplitude,peak_freq_resolution,peak_frequency,region_id,rms,start,stop,terminal_frequency,terminal_frequency_threshold
0,segment_matching_annotaudio_Aditya_2018-08-17_45_33_hp,0.000784,0.006011962890625,2525.252525252525,102040.81632653062,fm1,0.002127627295868778,0.000796,0.00158,96938.77551020408,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_45_33_hp,0.016892,0.02398681640625,118.37121212121212,105079.32749230404,cf1,0.012812902931597,0.00158,0.018472,105020.12787118163,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_45_33_hp,0.001528,0.02008056640625,1302.0833333333333,105366.49214659688,fm2,0.009471232719647994,0.018472,0.02,92931.93717277488,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_45_231_hp,0.013844,0.030242919921875,144.42518775274408,104594.04796301648,cf1,0.013168151433317335,0.001304,0.015148,104305.1141288645,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_45_231_hp,0.001448,0.021148681640625,1373.6263736263736,102209.94475138122,fm1,0.007213143512042864,0.015148,0.016596,92541.4364640884,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_45_189_hp,0.000264,0.007568359375,7352.941176470588,106060.60606060608,fm1,0.0034479256887998007,0.00024,0.000504,94696.96969696971,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_45_189_hp,0.023064,0.03118896484375,86.68515950069349,103928.19979188347,cf1,0.016752548560902195,0.000504,0.023568,103841.48456468957,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_45_189_hp,0.001624,0.027069091796875,1225.4901960784314,101600.98522167487,fm2,0.012610907287632618,0.023568,0.025192,93596.0591133005,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_45_113_hp,0.001356,0.01605224609375,1470.5882352941176,101032.44837758112,fm1,0.00916380148427521,0.000868,0.002224,92920.35398230089,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_45_113_hp,0.023048,0.10797119140625,86.74531575294934,103523.08226310309,cf1,0.044333296297809924,0.002224,0.025272,103436.30683790351,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_45_113_hp,0.00246,0.138031005859375,811.6883116883117,102032.52032520325,fm2,0.06789473349355961,0.025272,0.027732,87804.87804878049,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_45_1_hp,0.017124,0.031982421875,116.76786548341896,104414.85634197618,cf1,0.016094435923079815,0.00026,0.017384,104298.06120065405,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_45_1_hp,0.001616,0.02105712890625,1231.527093596059,95915.84158415842,fm1,0.008761028261871494,0.017384,0.019,92821.78217821782,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_45_22_hp,0.001356,0.02008056640625,1470.5882352941176,103982.30088495575,fm1,0.008917176596459984,0.0,0.001356,95132.74336283187,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_45_22_hp,0.013276,0.051727294921875,150.6024096385542,104775.53479963845,cf1,0.025454709040256696,0.001356,0.014632,104549.56312142212,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_45_22_hp,0.002368,0.017547607421875,841.7508417508418,103462.83783783784,fm2,0.005990361676113004,0.014632,0.017,89949.32432432432,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_45_100_hp,0.001088,0.00994873046875,1824.8175182481752,107536.76470588235,fm1,0.0037853675223033104,0.000724,0.001812,96507.35294117648,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_45_100_hp,0.024652,0.045806884765625,81.11615833874107,104291.74103521011,cf1,0.02090198434060125,0.001812,0.026464,104088.91773486938,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_45_100_hp,0.001456,0.009796142578125,1366.120218579235,103021.97802197804,fm2,0.004923694415044784,0.026464,0.02792,92719.78021978024,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_45_122_hp,0.001672,0.019866943359375,1190.4761904761904,95095.69377990432,fm1,0.009058449402575783,0.000228,0.0019,91507.17703349283,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_45_122_hp,0.015268,0.05487060546875,130.95861707700368,105580.29866387216,cf1,0.02576470180738612,0.0019,0.017168,105318.31281110822,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_45_122_hp,0.001804,0.07196044921875,1106.1946902654868,95343.68070953438,fm2,0.03364949659993149,0.017168,0.018972,90354.76718403549,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_45_25_hp,0.000976,0.017974853515625,2032.520325203252,102459.01639344262,fm1,0.008065221966287126,0.000404,0.00138,97336.0655737705,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_45_25_hp,0.030076,0.0633544921875,66.48936170212765,103504.45537970474,cf1,0.02433588950787652,0.00138,0.031456,103205.2134592366,-10
