,ifm_stop,ifm_start,ifm_rms,ifm_duration,ifm_region_id,ifm_terminal_frequency,ifm_peak_freq_resolution,ifm_peak_amplitude,ifm_peak_frequency,cf_stop,cf_start,cf_rms,cf_duration,cf_region_id,cf_terminal_frequency,cf_peak_freq_resolution,cf_peak_amplitude,cf_peak_frequency,tfm_stop,tfm_start,tfm_rms,tfm_duration,tfm_region_id,tfm_terminal_frequency,tfm_peak_freq_resolution,tfm_peak_amplitude,tfm_peak_frequency,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution,ifm-cf_dbratio,tfm-cf_dbratio,ifm-peak_db,tfm-peak_db,tfm_dbrms,ifm_dbrms,cf_dbrms,cf-peak_db
0,0.001556,0.0,0.12597613578698727,0.001556,fm1,93830.33419023137,1282.051282051282,0.25933837890625,103470.43701799486,0.019152000000000002,0.001556,0.1724717169934754,0.017596,cf1,105705.84223687203,113.63636363636364,0.406402587890625,105876.33553080246,0.022004,0.019152000000000002,0.06158563532098237,0.002852,fm2,92566.61991584854,700.2801120448178,0.110443115234375,93267.88218793827,segment_matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,-10,Aditya_2018-08-16_21502300_100,2,,,,-2.7285920857297223,-8.944769217860493,-11.722664164124446,-19.13722703703037,-24.210411480195788,-17.99423434806502,-15.265642262335295,-7.820870704293776
1,0.002048,0.00162,0.009963750014004584,0.00042800000000000005,fm1,102803.73831775703,4629.62962962963,0.0198974609375,107476.6355140187,0.020144,0.002048,0.07179725595825982,0.018096,cf1,107869.14235190097,110.4728236853734,0.142852783203125,108090.18567639258,0.022548,0.020144,0.0282424175003594,0.002404,fm2,89018.30282861898,830.5647840531561,0.0604248046875,91098.16971713812,segment_matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,-10,Aditya_2018-08-16_21502300_101,1,,,,-17.15370046749348,-8.104119546446084,-34.024046784555956,-24.375694893963736,-30.981962623984195,-40.03154354503159,-22.87784307753811,-16.902225876645517
2,,,,,,,,,,0.016604,0.001288,0.025482519344664382,0.015316,cf1,105184.12118046486,130.54830287206266,0.052093505859375,105379.9947767041,0.019488,0.016604,0.015163151758899544,0.002884,fm1,88765.60332871012,692.5207756232687,0.0428466796875,103675.4507628294,segment_matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,-10,Aditya_2018-08-16_21502300_102,1,,,,,-4.509057619675175,,-27.36165654331863,-36.38421036823176,,-31.875152748556594,-25.66432827689969
3,0.002412,0.000668,0.14970786853880247,0.001744,fm1,95756.88073394496,1141.552511415525,0.26312255859375,103211.00917431193,0.017772,0.002412,0.268992377568324,0.015359999999999999,cf1,106966.14583333334,130.1405517959396,0.44232177734375,107096.35416666669,0.020064,0.017772,0.17580923579717914,0.002292,fm2,92059.33682373473,871.0801393728223,0.301177978515625,102966.84118673648,segment_matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,-10,Aditya_2018-08-16_21502300_104,1,,,,-5.089906928629176,-3.6939657485481447,-11.596838328836974,-10.423535719730951,-15.09916627689539,-16.495107456976424,-11.405200528347246,-7.08523355954917
4,0.00244,0.001048,0.016832900866065904,0.001392,fm1,99856.32183908047,1428.571428571429,0.043701171875,104885.05747126436,0.016712,0.00244,0.0348944906605024,0.014272,cf1,107272.98206278024,140.05602240896357,0.071075439453125,107413.11659192824,0.018276,0.016712,0.013245066447006735,0.001564,fm2,96547.31457800511,1275.5102040816328,0.0301513671875,107416.87979539644,segment_matching_annotaudio_Aditya_2018-08-16_21502300_106_hp,-10,Aditya_2018-08-16_21502300_106,1,,,,-6.331957955223118,-8.414054442469025,-27.190138339757624,-30.413859807441796,-37.55891717240714,-35.476820685161236,-29.14486272993811,-22.965608928500743
5,0.001236,4.8e-05,0.011683159813738929,0.001188,fm1,99326.59932659932,1677.8523489932886,0.0228271484375,106060.60606060603,0.014844,0.001236,0.028760863238608093,0.013608000000000002,cf1,106701.94003527338,146.88601645123384,0.0535888671875,106848.91240446796,0.017159999999999998,0.014844,0.01918519491480509,0.002316,fm2,97150.25906735752,862.0689655172414,0.046630859375,103195.16407599306,segment_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp,-10,Aditya_2018-08-16_21502300_108,1,,,,-7.824831990643496,-3.5167140227524945,-32.83096674190513,-26.626531614400935,-34.34067568329372,-38.64879365118472,-30.823961660541226,-25.418508467792684
6,,,,,,,,,,0.018824,0.000956,0.04206609157944563,0.017868000000000002,cf1,105383.92657264383,111.9068934646374,0.0931396484375,105551.82449070962,0.020528,0.018824,0.021300936332128883,0.001704,fm1,92136.15023474178,1168.2242990654206,0.04791259765625,102699.53051643193,segment_matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,-10,Aditya_2018-08-16_21502300_110,1,,,,,-5.910669373816917,,-26.39100565100968,-33.43202611438094,,-27.521356740564023,-20.617308113537504
7,0.002592,0.0009400000000000001,0.017872060238507834,0.001652,fm1,95036.3196125908,1207.729468599034,0.041412353515625,102905.56900726394,0.015880000000000002,0.002592,0.03980260410776258,0.013288,cf1,105358.2179409994,150.42117930204572,0.0709228515625,105508.72968091512,0.01766,0.015880000000000002,0.019298247559797047,0.0017800000000000001,fm2,94943.82022471912,1121.0762331838564,0.044189453125,103370.78651685393,segment_matching_annotaudio_Aditya_2018-08-16_21502300_111_hp,-10,Aditya_2018-08-16_21502300_111,1,,,,-6.954737347654676,-6.287872273803108,-27.657401745999618,-27.093627461971796,-34.289642534523196,-34.956507608374764,-28.001770260720082,-22.984276224828495
8,,,,,,,,,,0.022008,0.0016120000000000002,0.04776714816066214,0.020396,cf1,105559.91370857033,98.0392156862745,0.103302001953125,105608.94292998627,0.024296,0.022008,0.01796896657613135,0.002288,fm1,87412.58741258741,871.0801393728223,0.0487060546875,105332.16783216783,segment_matching_annotaudio_Aditya_2018-08-16_21502300_18_hp,-10,Aditya_2018-08-16_21502300_18,2,,,,,-8.492124250764801,,-26.248340958900144,-34.909537982794674,,-26.417413732029868,-19.717825238771095
9,0.000916,0.0001,0.006330016094156565,0.000816,fm1,99264.70588235294,2427.184466019417,0.01220703125,106617.64705882351,0.018716,0.000916,0.01460845304266451,0.0178,cf1,108539.32584269663,112.30907457322552,0.03192138671875,108651.68539325843,0.020212,0.018716,0.017439387226466457,0.0014960000000000002,fm2,89572.19251336901,1329.7872340425529,0.04351806640625,97593.58288770054,segment_matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,-10,Aditya_2018-08-16_21502300_20,2,,,,-7.2639882935793745,1.5385398403541615,-38.26779887263511,-27.226608188877425,-35.1693755816925,-43.97190371562604,-36.70791542204667,-29.91836500856925
10,0.001936,0.0,0.017798727969013346,0.001936,fm1,103305.78512396694,1028.80658436214,0.05047607421875,105888.42975206609,0.062091999999999994,0.001936,0.14929682913702222,0.060155999999999994,cf1,107620.1875124676,33.244680851063826,0.314453125,107653.43440388324,0.064,0.062091999999999994,0.015075461352218229,0.0019079999999999998,fm2,102725.36687631028,1046.0251046025103,0.045166015625,105345.91194968554,segment_matching_annotaudio_Aditya_2018-08-16_21502300_22_hp,-10,Aditya_2018-08-16_21502300_22,2,,,,-18.47323237054851,-19.915599446529527,-25.9382885948638,-26.903764391295212,-36.43458776663287,-34.99222069065185,-16.518988320103347,-10.048881698879622
