,ifm_peak_amplitude,ifm_peak_freq_resolution,ifm_stop,ifm_rms,ifm_duration,ifm_region_id,ifm_start,ifm_terminal_frequency,ifm_peak_frequency,cf_peak_amplitude,cf_peak_freq_resolution,cf_stop,cf_rms,cf_duration,cf_region_id,cf_start,cf_terminal_frequency,cf_peak_frequency,tfm_peak_amplitude,tfm_peak_freq_resolution,tfm_stop,tfm_rms,tfm_duration,tfm_region_id,tfm_start,tfm_terminal_frequency,tfm_peak_frequency,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution
0,0.25933837890625,1282.051282051282,0.001556,0.12597613578698727,0.001556,fm1,0.0,93830.33419023137,103470.43701799486,0.406402587890625,113.63636363636364,0.019152000000000002,0.1724717169934754,0.017596,cf1,0.001556,105705.84223687203,105876.33553080246,0.110443115234375,700.2801120448178,0.022004,0.06158563532098237,0.002852,fm2,0.019152000000000002,92566.61991584854,93267.88218793827,segment_matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,-10,Aditya_2018-08-16_21502300_100,2,,,
1,0.0198974609375,4629.62962962963,0.002048,0.009963750014004584,0.00042800000000000005,fm1,0.00162,102803.73831775703,107476.6355140187,0.142852783203125,110.4728236853734,0.020144,0.07179725595825982,0.018096,cf1,0.002048,107869.14235190097,108090.18567639258,0.0604248046875,830.5647840531561,0.022548,0.0282424175003594,0.002404,fm2,0.020144,89018.30282861898,91098.16971713812,segment_matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,-10,Aditya_2018-08-16_21502300_101,1,,,
2,,,,,,,,,,0.052093505859375,130.54830287206266,0.016604,0.025482519344664382,0.015316,cf1,0.001288,105184.12118046486,105379.9947767041,0.0428466796875,692.5207756232687,0.019488,0.015163151758899544,0.002884,fm1,0.016604,88765.60332871012,103675.4507628294,segment_matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,-10,Aditya_2018-08-16_21502300_102,1,,,
3,0.26312255859375,1141.552511415525,0.002412,0.14970786853880247,0.001744,fm1,0.000668,95756.88073394496,103211.00917431193,0.44232177734375,130.1405517959396,0.017772,0.268992377568324,0.015359999999999999,cf1,0.002412,106966.14583333334,107096.35416666669,0.301177978515625,871.0801393728223,0.020064,0.17580923579717914,0.002292,fm2,0.017772,92059.33682373473,102966.84118673648,segment_matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,-10,Aditya_2018-08-16_21502300_104,1,,,
4,0.043701171875,1428.571428571429,0.00244,0.016832900866065904,0.001392,fm1,0.001048,99856.32183908047,104885.05747126436,0.071075439453125,140.05602240896357,0.016712,0.0348944906605024,0.014272,cf1,0.00244,107272.98206278024,107413.11659192824,0.0301513671875,1275.5102040816328,0.018276,0.013245066447006735,0.001564,fm2,0.016712,96547.31457800511,107416.87979539644,segment_matching_annotaudio_Aditya_2018-08-16_21502300_106_hp,-10,Aditya_2018-08-16_21502300_106,1,,,
5,0.0228271484375,1677.8523489932886,0.001236,0.011683159813738929,0.001188,fm1,4.8e-05,99326.59932659932,106060.60606060603,0.0535888671875,146.88601645123384,0.014844,0.028760863238608093,0.013608000000000002,cf1,0.001236,106701.94003527338,106848.91240446796,0.046630859375,862.0689655172414,0.017159999999999998,0.01918519491480509,0.002316,fm2,0.014844,97150.25906735752,103195.16407599306,segment_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp,-10,Aditya_2018-08-16_21502300_108,1,,,
6,,,,,,,,,,0.0931396484375,111.9068934646374,0.018824,0.04206609157944563,0.017868000000000002,cf1,0.000956,105383.92657264383,105551.82449070962,0.04791259765625,1168.2242990654206,0.020528,0.021300936332128883,0.001704,fm1,0.018824,92136.15023474178,102699.53051643193,segment_matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,-10,Aditya_2018-08-16_21502300_110,1,,,
7,0.041412353515625,1207.729468599034,0.002592,0.017872060238507834,0.001652,fm1,0.0009400000000000001,95036.3196125908,102905.56900726394,0.0709228515625,150.42117930204572,0.015880000000000002,0.03980260410776258,0.013288,cf1,0.002592,105358.2179409994,105508.72968091512,0.044189453125,1121.0762331838564,0.01766,0.019298247559797047,0.0017800000000000001,fm2,0.015880000000000002,94943.82022471912,103370.78651685393,segment_matching_annotaudio_Aditya_2018-08-16_21502300_111_hp,-10,Aditya_2018-08-16_21502300_111,1,,,
8,,,,,,,,,,0.103302001953125,98.0392156862745,0.022008,0.04776714816066214,0.020396,cf1,0.0016120000000000002,105559.91370857033,105608.94292998627,0.0487060546875,871.0801393728223,0.024296,0.01796896657613135,0.002288,fm1,0.022008,87412.58741258741,105332.16783216783,segment_matching_annotaudio_Aditya_2018-08-16_21502300_18_hp,-10,Aditya_2018-08-16_21502300_18,2,,,
9,0.01220703125,2427.184466019417,0.000916,0.006330016094156565,0.000816,fm1,0.0001,99264.70588235294,106617.64705882351,0.03192138671875,112.30907457322552,0.018716,0.01460845304266451,0.0178,cf1,0.000916,108539.32584269663,108651.68539325843,0.04351806640625,1329.7872340425529,0.020212,0.017439387226466457,0.0014960000000000002,fm2,0.018716,89572.19251336901,97593.58288770054,segment_matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,-10,Aditya_2018-08-16_21502300_20,2,,,
