,start,stop,duration,peak_amplitude,peak_frequency,peak_freq_resolution,rms,terminal_frequency,terminal_frequency_threshold,region_id,audio_file,num_bats,video_annot_id
0,0.00056,0.002772,0.002212,0.043609619140625,102622.06148282098,902.5270758122743,0.01675799222759332,97197.10669077758,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_230,1,Aditya_2018-08-16_2324_230
1,0.002772,0.042372,0.0396,0.086090087890625,103207.07070707073,50.494849525348414,0.03388029670108497,103005.05050505052,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_230,1,Aditya_2018-08-16_2324_230
2,0.042372,0.044932,0.00256,0.029876708984375,89062.50000000001,778.816199376947,0.012459966881836777,88281.25000000001,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_230,1,Aditya_2018-08-16_2324_230
0,0.0,0.002776,0.002776,0.033233642578125,101224.78386167147,718.3908045977012,0.00973027051863552,92219.02017291066,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_234,1,Aditya_2018-08-16_2324_234
1,0.002776,0.042332,0.039556,0.073150634765625,103271.3115582971,50.55611729019211,0.03354418395282486,102892.10233592881,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_234,1,Aditya_2018-08-16_2324_234
2,0.042332,0.046,0.003668,0.023834228515625,100599.78189749183,544.6623093681917,0.007830555592986062,88876.77208287896,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_234,1,Aditya_2018-08-16_2324_234
0,0.0,0.000972,0.000972,0.022003173828125,102880.658436214,2049.1803278688526,0.007401791821672615,100823.04526748972,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_26,2,Aditya_2018-08-16_2324_26
1,0.000972,0.014092,0.01312,0.109222412109375,105640.24390243902,152.34613040828762,0.05702600503998085,105335.36585365854,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_26,2,Aditya_2018-08-16_2324_26
2,0.014092,0.016208,0.002116,0.046905517578125,105387.5236294896,943.3962264150944,0.01760765993494195,99243.85633270322,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_26,2,Aditya_2018-08-16_2324_26
0,0.0,0.002124,0.002124,0.028839111328125,105461.39359698682,939.8496240601504,0.012441647829359088,95103.5781544256,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_260,1,Aditya_2018-08-16_2324_260
1,0.002124,0.051232,0.049108,0.122467041015625,106846.13504927914,40.723244828147905,0.06300006779369242,106785.04520648366,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_260,1,Aditya_2018-08-16_2324_260
2,0.051232,0.053004,0.001772,0.079620361328125,106094.80812641083,1126.126126126126,0.0376072487198627,95372.460496614,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_260,1,Aditya_2018-08-16_2324_260
0,0.0,0.001936,0.001936,0.267242431640625,105888.4297520661,1028.80658436214,0.11557639951100503,95557.85123966941,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_277,1,Aditya_2018-08-16_2324_277
1,0.001936,0.013612,0.011676,0.290802001953125,107399.79445015416,171.23287671232876,0.1653651335310437,107228.50291195615,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_277,1,Aditya_2018-08-16_2324_277
2,0.013612,0.016,0.002388,0.159332275390625,105527.63819095478,836.1204013377926,0.07620582751416007,90452.26130653267,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_277,1,Aditya_2018-08-16_2324_277
0,0.0,0.012336,0.012336,0.074859619140625,106679.63683527886,162.02203499675957,0.03747266236165244,106355.38261997406,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_28,2,Aditya_2018-08-16_2324_28
1,0.012336,0.016,0.003664,0.148834228515625,91157.20524017468,544.6623093681917,0.06320498088888327,90611.35371179039,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_28,2,Aditya_2018-08-16_2324_28
0,0.0,0.00162,0.00162,0.068206787109375,106172.83950617284,1231.527093596059,0.029241607914242792,94444.44444444444,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_287,1,Aditya_2018-08-16_2324_287
1,0.00162,0.025472,0.023852,0.170196533203125,109340.93577058527,83.83635144198524,0.08666505300461892,109257.08535971827,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_287,1,Aditya_2018-08-16_2324_287
2,0.025472,0.027,0.001528,0.121368408203125,108638.7434554974,1302.0833333333333,0.04387189686600464,104057.59162303667,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_287,1,Aditya_2018-08-16_2324_287
0,0.000704,0.001544,0.00084,0.016265869140625,105952.38095238096,2358.490566037736,0.006329535725693556,101190.4761904762,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_90,1,Aditya_2018-08-16_2324_90
1,0.001544,0.026384,0.02484,0.075653076171875,103985.50724637682,80.48937540244688,0.03544620949959181,103904.99194847021,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_90,1,Aditya_2018-08-16_2324_90
2,0.026384,0.02836,0.001976,0.039947509765625,103744.93927125506,1008.0645161290323,0.014872138745885667,97165.99190283401,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_90,1,Aditya_2018-08-16_2324_90
0,0.00074,0.017756,0.017016,0.112823486328125,103079.4546309356,117.4812030075188,0.05657379853243178,102903.14997649271,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_94,1,Aditya_2018-08-16_2324_94
1,0.017756,0.021,0.003244,0.149810791015625,87237.97780517879,615.7635467980296,0.06029415211892795,86313.19358816276,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_94,1,Aditya_2018-08-16_2324_94
0,0.000624,0.001596,0.000972,0.017913818359375,106995.88477366256,2049.1803278688526,0.006029224455460953,103909.46502057614,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-17_01_81,1,Aditya_2018-08-17_01_81
1,0.001596,0.01504,0.013444,0.063446044921875,107557.27462064862,148.720999405116,0.034602865414750855,106813.4483784588,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-17_01_81,1,Aditya_2018-08-17_01_81
2,0.01504,0.016896,0.001856,0.037139892578125,106681.03448275861,1072.961373390558,0.013205592727126635,100215.5172413793,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-17_01_81,1,Aditya_2018-08-17_01_81
0,0.0,0.00166,0.00166,0.058135986328125,103012.04819277108,1201.923076923077,0.019117532327052416,96987.9518072289,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-17_12_115,1,Aditya_2018-08-17_12_115
1,0.00166,0.053172,0.051512,0.198333740234375,105392.91815499302,38.81987577639752,0.092930757472999,105373.50520267124,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-17_12_115,1,Aditya_2018-08-17_12_115
2,0.053172,0.054976,0.001804,0.042388916015625,103658.53658536586,1106.1946902654868,0.01683005086277581,101441.24168514414,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-17_12_115,1,Aditya_2018-08-17_12_115
