,ifm_region_id,ifm_start,ifm_peak_frequency,ifm_peak_freq_resolution,ifm_rms,ifm_stop,ifm_terminal_frequency,ifm_duration,ifm_peak_amplitude,cf_region_id,cf_start,cf_peak_frequency,cf_peak_freq_resolution,cf_rms,cf_stop,cf_terminal_frequency,cf_duration,cf_peak_amplitude,tfm_region_id,tfm_start,tfm_peak_frequency,tfm_peak_freq_resolution,tfm_rms,tfm_stop,tfm_terminal_frequency,tfm_duration,tfm_peak_amplitude,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution
120,fm1,0.001456,103448.27586206897,2136.7521367521367,0.004374722527175296,0.002384,98060.34482758619,0.0009279999999999999,0.0089111328125,cf1,0.002384,103932.58426966293,98.54158454867954,0.01778670039679634,0.022675999999999998,103834.0232603982,0.020291999999999998,0.03814697265625,fm2,0.022675999999999998,101965.60196560195,1225.4901960784316,0.00717272726421847,0.024304,90909.09090909091,0.001628,0.016998291015625,segment_matching_annotaudio_Aditya_2018-08-17_01_76_hp,-10,Aditya_2018-08-17_01_76,1,,,
121,,,,,,,,,,cf1,0.000424,104239.97185080928,175.8087201125176,0.018009428296254987,0.011792,104064.03940886699,0.011368000000000001,0.042938232421875,fm1,0.011792,97000.0,996.01593625498,0.02226988412878246,0.013791999999999999,87500.0,0.002,0.044219970703125,segment_matching_annotaudio_Aditya_2018-08-17_01_78_hp,-10,Aditya_2018-08-17_01_78,1,,,
122,,,,,,,,,,cf1,0.001536,103085.55399719496,175.19271198318148,0.0160021720003862,0.012943999999999999,102822.5806451613,0.011408,0.03363037109375,fm1,0.012943999999999999,100896.86098654706,1116.0714285714287,0.019908019418646943,0.014728,89686.09865470849,0.001784,0.046905517578125,segment_matching_annotaudio_Aditya_2018-08-17_01_79_hp,-10,Aditya_2018-08-17_01_79,1,,,
123,fm1,0.0007160000000000001,105314.96062992128,1953.125,0.009412343893799392,0.001732,100393.70078740158,0.001016,0.01983642578125,cf1,0.001732,108676.10699033493,112.35955056179778,0.0254977466108319,0.019528,108395.1449763992,0.017796,0.051300048828125,fm2,0.019528,106125.35612535613,1420.4545454545455,0.013057333881227649,0.020932,102564.10256410258,0.0014039999999999999,0.0374755859375,segment_matching_annotaudio_Aditya_2018-08-17_01_80_hp,-10,Aditya_2018-08-17_01_80,1,,,
124,fm1,0.000968,108490.56603773586,3125.0,0.006791380885321118,0.001604,103773.58490566039,0.0006360000000000001,0.01580810546875,cf1,0.001604,106929.95529061103,148.98688915375448,0.034385444893102204,0.015024000000000001,106780.92399403876,0.01342,0.06329345703125,fm2,0.015024000000000001,104437.22943722946,1077.5862068965516,0.013139156259117964,0.016872,100108.22510822512,0.001848,0.036712646484375,segment_matching_annotaudio_Aditya_2018-08-17_01_81_hp,-10,Aditya_2018-08-17_01_81,1,,,
125,fm1,0.00014,100961.53846153848,1366.120218579235,0.0524886806159611,0.001596,92032.96703296703,0.001456,0.11297607421875,cf1,0.001596,102694.2451534117,76.31257631257631,0.07534431070901712,0.0278,102388.94825217524,0.026204,0.184417724609375,fm2,0.0278,100313.47962382443,1562.5,0.022617368761367572,0.029075999999999998,90909.0909090909,0.001276,0.047943115234375,segment_matching_annotaudio_Aditya_2018-08-17_01_82_hp,-10,Aditya_2018-08-17_01_82,1,,,
126,fm1,0.0012720000000000001,99214.14538310411,980.3921568627452,0.12928350337226427,0.0033079999999999997,88408.64440078587,0.002036,0.234710693359375,cf1,0.0033079999999999997,102120.23617820721,134.12017167381978,0.2534728712354469,0.018212,101784.75577026304,0.014903999999999999,0.446990966796875,fm2,0.018212,97409.90990990993,1121.0762331838564,0.1358734156118544,0.019988,86711.71171171173,0.0017760000000000002,0.271728515625,segment_matching_annotaudio_Aditya_2018-08-17_01_83_hp,-10,Aditya_2018-08-17_01_83,1,,,
128,fm1,0.0009,104020.97902097902,1736.111111111111,0.007383366047897796,0.0020440000000000002,95279.72027972028,0.001144,0.015716552734375,cf1,0.0020440000000000002,104853.36101738905,129.73533990659055,0.02539610817330344,0.017456,104723.59200622892,0.015412,0.056304931640625,fm2,0.017456,103571.42857142858,791.1392405063292,0.018327280340686758,0.019976,91666.66666666669,0.00252,0.04156494140625,segment_matching_annotaudio_Aditya_2018-08-17_12_101_hp,-10,Aditya_2018-08-17_12_101,1,,,
129,fm1,0.00023999999999999998,101825.84269662922,1396.6480446927374,0.008326424977317533,0.0016640000000000001,93398.87640449438,0.001424,0.02001953125,cf1,0.0016640000000000001,102976.99594046008,135.2813852813853,0.018779648694639682,0.016444,102909.33694181324,0.014780000000000001,0.0380859375,fm2,0.016444,104316.54676258992,1196.1722488038274,0.007125308610644665,0.018112,86930.45563549161,0.001668,0.016326904296875,segment_matching_annotaudio_Aditya_2018-08-17_12_103_hp,-10,Aditya_2018-08-17_12_103,1,,,
130,,,,,,,,,,cf1,0.000484,106178.27750086936,57.95085767269356,0.03462866708482448,0.034992,105917.4684131216,0.034508,0.0714111328125,fm1,0.034992,104651.16279069768,2314.8148148148152,0.015586290676221878,0.035851999999999995,95348.83720930235,0.00086,0.02838134765625,segment_matching_annotaudio_Aditya_2018-08-17_12_104_hp,-10,Aditya_2018-08-17_12_104,1,,,
131,,,,,,,,,,cf1,0.00742,105069.32409012133,144.3418013856813,0.025392623296670688,0.021268000000000002,104924.89890236856,0.013848,0.05072021484375,fm1,0.021268000000000002,103348.72979214783,1152.073732718894,0.03453948599183073,0.023,88914.54965357971,0.001732,0.08551025390625,segment_matching_annotaudio_Aditya_2018-08-17_12_114_hp,-10,Aditya_2018-08-17_12_114,1,,,
132,fm1,4e-06,101807.22891566264,1201.923076923077,0.018796157050265345,0.0016640000000000001,96987.9518072289,0.0016600000000000002,0.054840087890625,cf1,0.0016640000000000001,105742.35129678523,38.819875776397524,0.09217279742617132,0.053176,105373.50520267124,0.051512,0.196258544921875,fm2,0.053176,104783.59908883828,1136.3636363636365,0.016728473630796943,0.054932,101366.74259681092,0.001756,0.04107666015625,segment_matching_annotaudio_Aditya_2018-08-17_12_115_hp,-10,Aditya_2018-08-17_12_115,1,,,
