,audio_path,skip,start,stop,segment_method,signal_level,tfr_cliprange,measurements,window_size,extrap_window,max_acc,fmrate_threshold
21,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_47_hp.WAV,DEFAULT,DEFAULT,0.0207,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
22,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_62_hp.WAV,DEFAULT,DEFAULT,0.0212,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
23,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_70_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
24,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_73_hp.WAV,DEFAULT,DEFAULT,0.02144,pwvd,-46,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
25,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_74_hp.WAV,DEFAULT,DEFAULT,0.04925,pwvd,-40,34,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
26,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_98_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
27,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_99_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,42,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
28,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_100_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
29,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_101_hp.WAV,DEFAULT,DEFAULT,0.02263,pwvd,-40,50,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
30,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_102_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,43,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
31,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_104_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
32,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_106_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
33,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,43,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
34,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_110_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
35,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_111_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,32,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
