,audio_path,skip,segment_method,signal_level,tfr_cliprange,measurements,window_size,extrap_window,max_acc,fmrate_threshold
21,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_45_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
22,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_46_hp.WAV,DEFAULT,pwvd,-40,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
23,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_47_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
24,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_49_hp.WAV,TRUE,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
25,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_58_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
26,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_60_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
27,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_65_hp.WAV,DEFAULT,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
28,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_75_hp.WAV,DEFAULT,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
29,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_76_hp.WAV,DEFAULT,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
30,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_78_hp.WAV,DEFAULT,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
31,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_79_hp.WAV,DEFAULT,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
32,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_80_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
33,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_81_hp.WAV,DEFAULT,pwvd,-46,42,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
34,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_82_hp.WAV,DEFAULT,pwvd,-46,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
35,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_83_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
36,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_84_hp.WAV,TRUE,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
