,audio_path,start,stop,segment_method,signal_level,tfr_cliprange,measurements,window_size,extrap_window,max_acc,fmrate_threshold
0,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_18_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
1,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_19_hp.WAV,DEFAULT,DEFAULT,pwvd,-40,42,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
2,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_25_hp.WAV,DEFAULT,DEFAULT,pwvd,-52,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
3,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_31_hp.WAV,DEFAULT,DEFAULT,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
4,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_35_hp.WAV,DEFAULT,DEFAULT,pwvd,-39,30,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
5,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_56_hp.WAV,DEFAULT,DEFAULT,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
6,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_58_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,36,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
7,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_61_hp.WAV,DEFAULT,DEFAULT,pwvd,-50,36,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
8,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_85_hp.WAV,DEFAULT,DEFAULT,pwvd,-40,30,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
9,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_90_hp.WAV,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
10,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_91_hp.WAV,DEFAULT,DEFAULT,pwvd,-50,20,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
11,../../hp_ind_calls/2018-08-20_0300-0400/segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_92_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,24,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
