,audio_path,start,stop,segment_method,signal_level,skip,tfr_cliprange,measurements,window_size,extrap_window,max_acc,fmrate_threshold
21,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_92_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
22,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_97_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
23,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_99_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,TRUE,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
24,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_100_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
25,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_105_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,TRUE,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
26,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_109_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,36,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
27,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_110_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
28,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_111_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
29,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_112_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
30,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_113_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
31,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_115_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,TRUE,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
32,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_117_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
33,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_133_hp.WAV,DEFAULT,0.02057,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
34,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_134_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
35,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_137_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,TRUE,48,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
36,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_138_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
37,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_139_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,TRUE,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
38,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_141_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
39,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_143_hp.WAV,DEFAULT,0.02543,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
40,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_145_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
41,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_146_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,TRUE,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
42,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_155_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,TRUE,36,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
43,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_157_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
44,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_168_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
45,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_172_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,TRUE,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
46,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_173_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
47,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_174_hp.WAV,DEFAULT,DEFAULT,pwvd,-50,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
48,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_185_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,TRUE,50,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
49,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_186_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
50,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_187_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
51,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_193_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
52,../../hp_ind_calls/2018-08-17_0200-0300/segment_matching_annotaudio_Aditya_2018-08-17_23_196_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
